attendance,avg-attendance
60.0,59.90291262
60.0,59.90384615
60.0,59.9047619
60.0,59.90566038
60.0,59.90654206
60.0,59.90740741
60.0,59.90825688
60.0,59.90909091
60.0,59.90990991
60.0,59.91071429
60.0,59.91150442
60.0,59.9122807
60.0,59.91304348
60.0,59.9137931
60.0,59.91452991
60.0,59.91525424
60.0,59.91596639
60.0,59.91666667
60.0,59.91735537
60.0,59.91803279
60.0,59.91869919
60.0,59.91935484
60.0,59.92
60.0,59.92063492
60.0,59.92125984
60.0,59.921875
60.0,59.92248062
60.0,59.92307692
60.0,59.92366412
60.0,59.92424242
60.0,59.92481203
60.0,59.92537313
60.0,59.92592593
60.0,59.92647059
60.0,59.9270073
60.0,59.92753623
60.0,59.92805755
60.0,59.92857143
60.0,59.92907801
60.0,59.92957746
60.0,59.93006993
60.0,59.93055556
60.0,59.93103448
60.0,59.93150685
60.0,59.93197279
60.0,59.93243243
60.0,59.93288591
60.0,59.93333333
60.0,59.93377483
60.0,59.93421053
60.0,59.93464052
60.0,59.93506494
60.0,59.93548387
60.0,59.93589744
60.0,59.93630573
60.0,59.93670886
60.0,59.93710692
60.0,59.9375
60.0,59.9378882
60.0,59.9382716
60.0,59.93865031
60.0,59.93902439
60.0,59.93939394
60.0,59.93975904
60.0,59.94011976
60.0,59.94047619
60.0,59.9408284
60.0,59.94117647
60.0,59.94152047
60.0,59.94186047
60.0,59.94219653
60.0,59.94252874
60.0,59.94285714
60.0,59.94318182
60.0,59.94350282
60.0,59.94382022
60.0,59.94413408
60.0,59.94444444
60.0,59.94475138
60.0,59.94505495
60.0,59.94535519
60.0,59.94565217
60.0,59.94594595
60.0,59.94623656
60.0,59.94652406
60.0,59.94680851
60.0,59.94708995
60.0,59.94736842
60.0,59.94764398
60.0,59.94791667
60.0,59.94818653
60.0,59.94845361
60.0,59.94871795
60.0,59.94897959
60.0,59.94923858
60.0,59.94949495
60.0,59.94974874
60.0,59.95
60.0,59.95024876
60.0,59.95049505
60.0,59.95073892
60.0,59.95098039
60.0,59.95121951
60.0,59.95145631
60.0,59.95169082
60.0,59.95192308
60.0,59.95215311
60.0,59.95238095
60.0,59.95260664
60.0,59.95283019
60.0,59.95305164
60.0,59.95327103
60.0,59.95348837
60.0,59.9537037
60.0,59.95391705
60.0,59.95412844
60.0,59.9543379
60.0,59.95454545
60.0,59.95475113
60.0,59.95495495
60.0,59.95515695
60.0,59.95535714
60.0,59.95555556
60.0,59.95575221
60.0,59.95594714
60.0,59.95614035
60.0,59.95633188
60.0,59.95652174
60.0,59.95670996
60.0,59.95689655
60.0,59.95708155
60.0,59.95726496
60.0,59.95744681
60.0,59.95762712
60.0,59.95780591
60.0,59.95798319
60.0,59.958159
60.0,59.95833333
60.0,59.95850622
60.0,59.95867769
60.0,59.95884774
60.0,59.95901639
60.0,59.95918367
60.0,59.95934959
60.0,59.95951417
